school_id,year,province,district,area_type,school_type,school_ownership,medium_of_instruction,shift,grade_level,gender_served,total_enrollment,female_enrollment_ratio,total_teachers,qualified_teachers_pct,student_teacher_ratio,teacher_training_received,pass_rate_pct,dropout_rate_pct,matric_avg_score,scholarship_available,monthly_fee_pkr,annual_budget_pkr,infrastructure_score,has_electricity,has_clean_water,has_toilets,has_library,has_computer_lab,has_playground,has_boundary_wall,has_internet,building_condition,distance_from_city_km
PKS000001,2025,Balochistan,Loralai,Urban,Government Secondary,Government,Urdu,Full Day,Grade 7,Male,246,0.465,6,76.9,41.0,Yes,88.6,13.4,,Yes,0,5934612,6.5,Partial,No,Yes - Combined,Yes,Yes,Yes,Yes,Yes,Poor,10.4
PKS000002,2024,Punjab,Rawalpindi,Urban,Private Higher Secondary,Private,Urdu,Morning,Grade 7,Male,188,0.593,6,57.7,31.3,Yes,91.1,3.7,,Yes,227,838983,4.0,No,Yes,No,No,Yes,No,Yes,Yes,Poor,44.0
PKS000003,2025,Punjab,Lahore,Semi-Urban,Government Secondary,Government,Sindhi,Full Day,Grade 12,Male,84,0.659,2,76.8,42.0,Yes,72.1,20.5,,Yes,0,894965,5.0,Yes,Yes,Yes - Separate,No,No,No,Yes,Yes,Good,35.9
PKS000004,2022,Balochistan,Chaman,Semi-Urban,Private Primary,Government,Bilingual (Urdu/English),Evening,Grade 8,Male,42,0.526,1,91.5,42.0,Yes,79.9,23.9,,No,0,7641979,4.0,No,Yes,No,No,Yes,Yes,Yes,No,Good,16.6
PKS000005,2022,Punjab,Multan,Rural,Special Education,Government,English,Full Day,Grade 5,Female,1379,0.177,49,76.1,28.1,Yes,53.2,32.5,,No,0,5982999,5.0,Yes,No,Yes - Separate,No,Yes,No,Yes,Yes,Very Poor,2.3
PKS000006,2025,Sindh,Mirpurkhas,Urban,Private Primary,NGO/Trust,Urdu,Morning,Grade 11,Male,48,0.385,1,99.8,48.0,Yes,45.5,2.0,,No,121,1184334,3.0,Yes,No,Yes - Separate,Yes,No,No,No,No,Fair,7.2
PKS000007,2023,Sindh,Jacobabad,Semi-Urban,Government Secondary,Government,English,Morning,Grade 12,Male,20,0.408,1,60.4,20.0,Yes,50.0,5.3,,No,0,710974,5.5,Yes,Yes,Yes - Separate,No,No,Yes,Partial,Yes,Poor,20.2
PKS000008,2024,KPK,Peshawar,Rural,Private Secondary,Government,Urdu,Morning,Grade 10,Female,542,0.688,12,66.3,45.2,Yes,57.9,19.8,67.9,Yes,0,2386650,3.0,No,Yes,Yes - Combined,No,No,No,Yes,No,Poor,27.0
PKS000009,2023,Punjab,Multan,Rural,Private Secondary,Private,Urdu,Evening,Grade 10,Male,22,0.286,1,91.7,22.0,No,67.9,17.6,90.3,No,650,1925362,6.0,Yes,Yes,Yes - Separate,Yes,Yes,Yes,No,No,Very Poor,9.1
PKS000010,2024,KPK,Abbottabad,Urban,Government Primary,Government,English,Evening,Grade 12,Female,186,0.446,4,79.3,46.5,Yes,98.4,23.4,,Yes,0,1692742,5.0,Yes,Yes,No,Yes,No,Yes,No,Yes,Good,43.7
PKS000011,2023,Sindh,Hyderabad,Urban,Private Primary,Private,Urdu,Full Day,Grade 11,Female,133,0.509,4,74.3,33.2,Partial,99.0,17.2,,No,353,365862,5.5,No,Yes,Yes - Separate,Yes,Yes,Yes,Partial,No,Fair,2.4
PKS000012,2024,Balochistan,Turbat,Rural,Government Primary,Private,English,Morning,Grade 5,Male,163,0.438,4,72.5,40.8,Yes,88.0,7.7,,Yes,181,5160183,7.0,Yes,Yes,Yes - Separate,Yes,No,Yes,Yes,Yes,Poor,84.5
PKS000013,2025,Punjab,Sargodha,Semi-Urban,Government Higher Secondary,Government,English,Morning,Grade 2,Male,364,0.781,14,64.1,26.0,Yes,84.7,22.3,,No,0,1809891,5.0,No,Yes,Yes - Combined,No,Yes,Yes,No,Yes,Excellent,21.5
PKS000014,2024,Gilgit-Baltistan,Astore,Remote,Private Secondary,Government,Bilingual (Urdu/English),Full Day,Grade 9,Male,111,0.515,3,98.2,37.0,Yes,53.9,31.1,57.3,No,0,3686723,5.0,Yes,Yes,Yes - Separate,Yes,Yes,No,No,No,Fair,7.7
PKS000015,2023,Punjab,Sargodha,Rural,Private Higher Secondary,Government,Urdu,Evening,Grade 8,Male,399,0.148,11,82.4,36.3,Yes,59.0,13.2,,No,0,2532490,5.5,Partial,Yes,Yes - Separate,Yes,Yes,No,Yes,No,Fair,19.3
PKS000016,2023,Balochistan,Pishin,Urban,Private Higher Secondary,Private,Bilingual (Urdu/English),Full Day,Grade 7,Male,78,0.206,2,86.4,39.0,Yes,68.4,14.8,,No,497,1805190,3.0,Yes,No,No,No,No,Yes,Yes,No,Excellent,6.8
PKS000017,2024,Sindh,Jacobabad,Rural,Madrasah,Private,English,Evening,Grade 8,Female,71,0.548,1,85.8,71.0,Yes,55.8,30.3,,Yes,1292,8967362,6.0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,1.5
PKS000018,2023,Balochistan,Turbat,Rural,Government Primary,Government,Urdu,Morning,Grade 11,Female,453,0.248,13,93.4,34.8,Yes,45.3,19.1,,Yes,0,10789394,6.0,Partial,Yes,Yes - Combined,Yes,No,Yes,Partial,Yes,Poor,9.5
PKS000019,2022,Punjab,Lahore,Remote,Government Primary,Private,Urdu,Evening,Grade 12,Female,135,0.347,4,51.8,33.8,No,41.3,19.5,,No,639,6056819,3.0,No,Yes,Yes - Combined,No,Yes,No,No,No,Good,3.6
PKS000020,2024,Punjab,Multan,Remote,Government Primary,Government,Pashto,Morning,Grade 5,Female,401,0.465,12,96.6,33.4,Yes,49.2,41.5,,Yes,0,3051573,7.5,Partial,Yes,Yes - Separate,Yes,Yes,Yes,Yes,Yes,Good,8.4
PKS000021,2024,Punjab,Gujrat,Urban,Government Primary,Government,Bilingual (Urdu/English),Morning,Grade 5,Female,190,0.495,5,99.7,38.0,Yes,52.2,6.4,,No,0,3108371,5.0,Yes,No,Yes - Separate,Yes,Yes,No,Yes,No,Fair,10.2
PKS000022,2022,Balochistan,Hub,Urban,Special Education,Government,Urdu,Evening,Grade 8,Female,140,0.666,5,87.0,28.0,Partial,74.9,23.7,,No,0,1932367,3.0,No,Yes,No,Yes,No,No,No,Yes,Fair,1.5
PKS000023,2022,Sindh,Khairpur,Rural,Government Primary,Private,English,Evening,Grade 2,Male,85,0.508,2,89.5,42.5,Partial,77.8,20.0,,No,598,5091980,3.5,Yes,No,Yes - Separate,Yes,No,No,Partial,No,Very Poor,5.8
